11:09:49(084) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:15:17(025) , [EZNET:EVENT]  =========================================================
11:15:17(025) , [EZNET:EVENT]  
11:15:17(037) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:15:17(037) , [EZNET:EVENT]  
11:15:17(037) , [EZNET:EVENT]  =========================================================
11:15:17(037) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:15:17(037) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:15:17(054) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:15:17(054) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:15:17(054) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:15:17(054) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:15:17(054) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:15:17(065) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:15:48(024) , [EZNET:EVENT]  =========================================================
11:15:48(024) , [EZNET:EVENT]  
11:15:48(043) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:15:48(043) , [EZNET:EVENT]  
11:15:48(043) , [EZNET:EVENT]  =========================================================
11:15:48(043) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:15:48(043) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:15:48(058) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:15:48(058) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:15:48(058) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:15:48(058) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:15:48(058) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:15:48(064) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:17:12(018) , [EZNET:EVENT]  =========================================================
11:17:12(018) , [EZNET:EVENT]  
11:17:12(028) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:17:12(028) , [EZNET:EVENT]  
11:17:12(028) , [EZNET:EVENT]  =========================================================
11:17:12(028) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:17:12(028) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:17:12(033) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:17:12(033) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:17:12(033) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:17:12(033) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:17:12(033) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:17:12(038) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:33:19(131) , [EZNET:EVENT]  =========================================================
11:33:19(132) , [EZNET:EVENT]  
11:33:19(153) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:33:19(153) , [EZNET:EVENT]  
11:33:19(153) , [EZNET:EVENT]  =========================================================
11:33:19(153) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:33:19(153) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:33:19(164) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:33:19(164) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:33:19(164) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:33:19(164) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:33:19(164) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:33:19(181) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:34:20(491) , [EZNET:EVENT]  =========================================================
11:34:20(491) , [EZNET:EVENT]  
11:34:20(507) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:34:20(507) , [EZNET:EVENT]  
11:34:20(507) , [EZNET:EVENT]  =========================================================
11:34:20(507) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:34:20(507) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:34:20(523) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:34:20(523) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:34:20(523) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:34:20(523) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:34:20(523) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:34:20(540) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:36:18(983) , [EZNET:EVENT]  =========================================================
11:36:18(984) , [EZNET:EVENT]  
11:36:18(994) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:36:18(994) , [EZNET:EVENT]  
11:36:18(994) , [EZNET:EVENT]  =========================================================
11:36:18(994) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:36:18(994) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:36:19(011) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:36:19(011) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:36:19(011) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:36:19(011) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:36:19(011) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:36:19(020) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:36:55(880) , [EZNET:EVENT]  =========================================================
11:36:55(880) , [EZNET:EVENT]  
11:36:55(887) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:36:55(887) , [EZNET:EVENT]  
11:36:55(887) , [EZNET:EVENT]  =========================================================
11:36:55(887) , [EZNET:EVENT]  PRODUCT TYPE : EVALUATION
11:36:55(887) , [HSMS:EVENT ]  Waiting for a connection. (PORT=5000)
11:36:55(899) , [EZNET:EVENT]  FormatCheck NOT Active.   Refer to SetFormatCheck()/SetFormatFile().
11:36:55(899) , [EZNET:EVENT]  EZGEM.INI file NOT found (Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.INI
11:36:55(899) , [EZNET:EVENT]  Reading Report File.  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:36:55(899) , [EZGEM:ASSIS]  [GEM:CONFIG] EZGEM.RPT File Not Found
11:36:55(899) , [EZGEM:ASSIS]  Path=D:\01. ARAM VINA\04. PROJECT CLONE\10. VSP-88D-CS-VER1\VSP_88D_CS_Ver1\20_PROG\VSP-88D-CS\VSP-88D-CS\bin\Debug\net8.0-windows\EZGEM.RPT
11:36:55(914) , [EZNET:EVENT]  SVID=0, CEID=0, ECID=0, ALID=0
11:39:26(166) , [EZNET:EVENT]  =========================================================
11:39:26(166) , [EZNET:EVENT]  
11:39:26(182) , [EZNET:EVENT]  [ EZGEM PLUS(+) Version = 2.2.4 { 2025/05/25 } (DLL) ]
11:39:26(182) , [EZNET:EVENT]  
